Type,Brand,Model,Benchmark,Type_Speed,CAS_Latency,RAM_Sticks,GB_Amount,URL
RAM,Ripjaws,Ripjaws 4 DDR4 2400 C14 8x16GB,121.0,DDR4 2400,C14,4,16GB,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C14-8x16GB/Rating/3567
RAM,Trident,Trident Z DDR4 3200 C14 4x16GB,116.0,DDR4 3200,C14,4,16GB,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C14-4x16GB/Rating/3612
RAM,Ballistix,Ballistix Sport DDR4 2400 C16 8x4GB,110.0,DDR4 2400,C16,4,4GB,https://ram.userbenchmark.com/SpeedTest/93395/Crucial-BLS4G4D240FSAM8FAD-8x4GB
RAM,Ballistix,Ballistix Elite DDR4 3600 C16 4x8GB,108.0,DDR4 3600,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/811381/Crucial-BLE8G4D36BEEAKM8FE1-4x8GB
RAM,Flare,Flare X DDR4 3200 C14 4x8GB,106.0,DDR4 3200,C14,4,8GB,https://ram.userbenchmark.com/SpeedTest/270794/GSKILL-F4-3200C14-8GFX-4x8GB
RAM,Trident,Trident Z DDR4 3200 C15 4x16GB,103.0,DDR4 3200,C15,4,16GB,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C15-4x16GB/Rating/3613
RAM,Dominator,Dominator DDR4 3000 C15 4x16GB,99.3,DDR4 3000,C15,4,16GB,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-4x16GB/Rating/3565
RAM,Vengeance,Vengeance LPX DDR4 3600 C18 2x16GB,98.6,DDR4 3600,C18,4,16GB,https://ram.userbenchmark.com/SpeedTest/998434/Corsair-Vengeance-LPX-CMK32GX4M2Z3600C18-2x16GB
RAM,Trident,Trident Z DDR4 3600 C16 2x8GB,97.8,DDR4 3600,C16,4,8GB,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C16-2x8GB/Rating/3562
RAM,Flare,Flare X DDR4 3200 C14 2x8GB,97.8,DDR4 3200,C14,4,8GB,https://ram.userbenchmark.com/SpeedTest/255366/GSKILL-F4-3200C14-8GFX-2x8GB
RAM,Ballistix,Ballistix Sport DDR4 2400 C16 4x4GB,97.4,DDR4 2400,C16,4,4GB,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-4x4GB/Rating/3561
RAM,Trident,Trident Z DDR4 3600 C17 2x8GB,96.2,DDR4 3600,C17,4,8GB,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C17-2x8GB/Rating/3563
RAM,Vengeance,Vengeance LPX DDR4 2666 C15 4x8GB,95.5,DDR4 2666,C15,4,8GB,https://ram.userbenchmark.com/SpeedTest/89347/Corsair-Vengeance-LPX-CMK32GX4M4A2666C15-4x8GB
RAM,Ballistix,Ballistix Elite DDR4 3600 C16 2x8GB,95.2,DDR4 3600,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/786050/Crucial-BLE8G4D36BEEAKM8FE1-2x8GB
RAM,Ripjaws,Ripjaws V DDR4 3200 C16 4x16GB,94.5,DDR4 3200,C16,4,16GB,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-3200-C16-4x16GB/Rating/3564
RAM,Fury,Fury DDR4 2666 C15 4x8GB,92.4,DDR4 2666,C15,4,8GB,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-4x8GB/Rating/3570
RAM,Ripjaws,Ripjaws 4 DDR4 3000 C15 4x4GB,92.1,DDR4 3000,C15,4,4GB,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540
RAM,Ripjaws,Ripjaws 4 DDR4 3000 C15 4x4GB,92.1,DDR4 3000,C15,4,4GB,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540
RAM,Ripjaws,Ripjaws 4 DDR4 3000 C15 4x4GB,92.1,DDR4 3000,C15,4,4GB,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540
RAM,Ripjaws,Ripjaws 4 DDR4 2800 C16 4x4GB,91.9,DDR4 2800,C16,4,4GB,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608
RAM,Ripjaws,Ripjaws 4 DDR4 2800 C16 4x4GB,91.9,DDR4 2800,C16,4,4GB,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608
RAM,Ripjaws,Ripjaws 4 DDR4 2800 C16 4x4GB,91.9,DDR4 2800,C16,4,4GB,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608
RAM,Trident,Trident Z DDR4 3600 C17 2x4GB,91.4,DDR4 3600,C17,4,4GB,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C17-2x4GB/Rating/3566
RAM,Vengeance,Vengeance RGB DDR4 3466 C16 2x8GB,91.3,DDR4 3466,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/287318/Corsair-CMR16GX4M2C3466C16-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 4x4GB,90.9,DDR4 3000,C15,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 4x4GB,90.9,DDR4 3000,C15,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 4x4GB,90.9,DDR4 3000,C15,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558
RAM,Vengeance,Vengeance LPX DDR4 3600 C18 2x8GB,89.4,DDR4 3600,C18,4,8GB,https://ram.userbenchmark.com/SpeedTest/808862/Corsair-Vengeance-LPX-CMK16GX4M2D3600C18-2x8GB
RAM,Vengeance,Vengeance RGB DDR4 3600 C18 2x8GB,89.0,DDR4 3600,C18,4,8GB,https://ram.userbenchmark.com/SpeedTest/315553/Corsair-CMR16GX4M2C3600C18-2x8GB
RAM,Vengeance,Vengeance RGB PRO DDR4 3200 C16 2x16GB,88.5,DDR4 3200,C16,4,16GB,https://ram.userbenchmark.com/SpeedTest/587593/Corsair-CMW32GX4M2C3200C16-2x16GB
RAM,Vengeance,Vengeance LPX DDR4 2800 C16 4x4GB,88.5,DDR4 2800,C16,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541
RAM,Vengeance,Vengeance LPX DDR4 2800 C16 4x4GB,88.5,DDR4 2800,C16,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541
RAM,Vengeance,Vengeance LPX DDR4 2800 C16 4x4GB,88.5,DDR4 2800,C16,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541
RAM,Vengeance,Vengeance LPX DDR4 2666 C16 4x4GB,87.9,DDR4 2666,C16,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
RAM,Vengeance,Vengeance LPX DDR4 2666 C16 4x4GB,87.9,DDR4 2666,C16,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
RAM,Vengeance,Vengeance LPX DDR4 2666 C16 4x4GB,87.9,DDR4 2666,C16,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
RAM,Vengeance,Vengeance LPX DDR4 3200 C16 2x16GB,87.5,DDR4 3200,C16,4,16GB,https://ram.userbenchmark.com/SpeedTest/97244/Corsair-Vengeance-LPX-CMK32GX4M2B3200C16-2x16GB
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 4x8GB,87.1,DDR4 2400,C14,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 4x8GB,87.1,DDR4 2400,C14,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 4x8GB,87.1,DDR4 2400,C14,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542
RAM,Vengeance,Vengeance RGB DDR4 3000 C15 2x16GB,87.0,DDR4 3000,C15,4,16GB,https://ram.userbenchmark.com/SpeedTest/335632/Corsair-CMR32GX4M2C3000C15-2x16GB
RAM,Vengeance,Vengeance LPX DDR4 3200 C16 2x16GB,86.2,DDR4 3200,C16,4,16GB,https://ram.userbenchmark.com/SpeedTest/814385/Corsair-Vengeance-LPX-CMK32GX4M2E3200C16-2x16GB
RAM,Trident,Trident Z DDR4 3200 C16 2x8GB,85.4,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C16-2x8GB/Rating/3550
RAM,Vengeance,Vengeance LPX DDR4 2400 C16 4x8GB,85.1,DDR4 2400,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/108268/Corsair-Vengeance-LPX-CMK32GX4M4A2400C16-4x8GB
RAM,Vengeance,Vengeance LPX DDR4 3200 C16 2x8GB,85.1,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547
RAM,Vengeance,Vengeance LPX DDR4 3200 C16 2x8GB,85.1,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547
RAM,Vengeance,Vengeance RGB DDR4 3200 C16 2x8GB,85.0,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/298180/Corsair-CMR16GX4M2C3200C16-2x8GB
RAM,Vengeance,Vengeance LED DDR4 3200 C16 2x8GB,84.8,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,Vengeance,Vengeance LED DDR4 3200 C16 2x8GB,84.8,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,Vengeance,Vengeance LED DDR4 3200 C16 2x8GB,84.8,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 2666 C16 4x8GB,84.7,DDR4 2666,C16,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
RAM,Vengeance,Vengeance LPX DDR4 2666 C16 4x8GB,84.7,DDR4 2666,C16,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
RAM,Vengeance,Vengeance LPX DDR4 2666 C16 4x8GB,84.7,DDR4 2666,C16,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
RAM,Vengeance,Vengeance LPX DDR4 3200 C16 2x8GB,84.5,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/812521/Corsair-Vengeance-LPX-CMK16GX4M2E3200C16-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x16GB,84.4,DDR4 3000,C15,4,16GB,https://ram.userbenchmark.com/SpeedTest/92054/Corsair-Vengeance-LPX-CMK32GX4M2B3000C15-2x16GB
RAM,Trident,Trident Z DDR4 3000 C15 2x8GB,84.3,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3000-C15-2x8GB/Rating/3548
RAM,Trident,Trident Z RGB DDR4 3200 C16 2x8GB,84.3,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/231020/GSKILL-F4-3200C16-8GTZR-2x8GB
RAM,Fury,Fury DDR4 2666 C15 2x4GB,84.2,DDR4 2666,C15,4,4GB,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x4GB/Rating/3556
RAM,Ripjaws,Ripjaws V DDR4 3200 C16 2x8GB,84.0,DDR4 3200,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/89324/GSKILL-F4-3200C16-8GVKB-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 4x4GB,83.3,DDR4 2400,C14,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 4x4GB,83.3,DDR4 2400,C14,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 4x4GB,83.3,DDR4 2400,C14,4,4GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
RAM,Fury,Fury DDR4 2666 C15 2x8GB,83.2,DDR4 2666,C15,4,8GB,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x8GB/Rating/3553
RAM,Dominator,Dominator DDR4 3000 C15 2x8GB,82.8,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-2x8GB/Rating/3597
RAM,Vengeance,Vengeance RGB DDR4 3000 C15 2x8GB,82.5,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/SpeedTest/258851/Corsair-CMR16GX4M2C3000C15-2x8GB
RAM,Vengeance,Vengeance LED DDR4 3000 C15 2x8GB,82.5,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB
RAM,Vengeance,Vengeance LED DDR4 3000 C15 2x8GB,82.5,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB
RAM,Vengeance,Vengeance LED DDR4 3000 C15 2x8GB,82.5,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB
RAM,Predator,Predator 2666 C13 2x8GB,82.5,,C13,2666,8GB,https://ram.userbenchmark.com/SpeedTest/318273/Kingston-KHX2666C138GX-2x8GB
RAM,Vengeance,Vengeance DDR3 1600 C9 8x8GB,82.1,DDR3 1600,C9,3,8GB,https://ram.userbenchmark.com/SpeedTest/100478/Corsair-Vengeance-CMZ64GX3M8A1600C9-8x8GB
RAM,Fury,Fury 2666 C16 2x8GB,82.1,,C16,2666,8GB,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,Fury,Fury 2666 C16 2x8GB,82.1,,C16,2666,8GB,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,Fury,Fury 2666 C16 2x8GB,82.1,,C16,2666,8GB,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,Fury,Fury DDR4 2400 C15 4x4GB,81.8,DDR4 2400,C15,4,4GB,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2400-C15-4x4GB/Rating/3585
RAM,Vengeance,Vengeance RGB DDR4 3000 C16 2x8GB,81.5,DDR4 3000,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/465040/Corsair-CMR16GX4M2D3000C16-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x4GB,81.1,DDR4 3000,C15,4,4GB,https://ram.userbenchmark.com/SpeedTest/90523/Corsair-Vengeance-LPX-CMK8GX4M2B3000C15-2x4GB
RAM,Fury,Fury DDR4 2133 C14 4x8GB,80.9,DDR4 2133,C14,4,8GB,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-4x8GB/Rating/3569
RAM,Vengeance,Vengeance LPX DDR4 2400 C16 4x4GB,80.9,DDR4 2400,C16,4,4GB,https://ram.userbenchmark.com/SpeedTest/89553/Corsair-Vengeance-LPX-CMK16GX4M4A2400C16-4x4GB
RAM,Trident,Trident Z RGB DDR4 3000 C16 2x8GB,80.8,DDR4 3000,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/236585/GSKILL-F4-3000C16-8GTZR-2x8GB
RAM,Vengeance,Vengeance RGB PRO DDR4 3200 C15 2x8GB,80.5,DDR4 3200,C15,4,8GB,https://ram.userbenchmark.com/SpeedTest/523893/Corsair-CMW16GX4M2C3000C15-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 3000 C16 2x8GB,80.1,DDR4 3000,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 3000 C16 2x8GB,80.1,DDR4 3000,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
